Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
170086A07000500;https://www.miraphone.de/bbb-tuba-80.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07000700;https://www.miraphone.de/bbb-tuba-17.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07000710;https://www.miraphone.de/bbb-tuba-16.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07000720;https://www.miraphone.de/bbb-tuba-5.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07020;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-4-valves-1-4.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A07020500;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-4-valves-1-3.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A11000;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-4-valves-1-2.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A11000500;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-4-valves-1.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A11000710;https://www.miraphone.de/bbb-tuba-15.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086A11000720;https://www.miraphone.de/b-tuba-86-4-4-size-bell-45-cm-4-valves-1.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086B07000;https://www.miraphone.de/bbb-tuba-75.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086B07000500;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-5-valves-1-2.html;B-Tuba;Modell 86;4/4;Modell 864/4
170086B07000720;https://www.miraphone.de/bbb-tuba-86-4-4-size-bell-45-cm-5-valves-1.html;B-Tuba;Modell 86;4/4;Modell 864/4
170087A07000;https://www.miraphone.de/bbb-tuba-87-4-4-wide-size-bell-45-cm-4-valves-1-4.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087A07000500;https://www.miraphone.de/bbb-tuba-87-4-4-wide-size-bell-45-cm-4-valves-1-3.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087A07000700;https://www.miraphone.de/bbb-tuba-10.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087A11000;https://www.miraphone.de/bbb-tuba-87-4-4-wide-size-bell-45-cm-4-valves-1-2.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087A11000500;https://www.miraphone.de/bbb-tuba-87-4-4-wide-size-bell-45-cm-4-valves-1.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087A11000710;https://www.miraphone.de/bbb-tuba-9.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087B11000;https://www.miraphone.de/bbb-tuba-69.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170087B11000500;https://www.miraphone.de/bbb-tuba-87b-4-4-wide-size-bell-45-cm-5-valves-1.html;B-Tuba;Modell 87;4/4 weit;Modell 874/4 weit
170091A07000;https://www.miraphone.de/bbb-tuba-67.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091A07000500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1-5.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091A07020;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1-4.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091A07020500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1-3.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091A11000;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1-2.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091A11000500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-4-valves-1.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
